customer_a,customer_b,weight,device_id,ip_id,coupon_id
CUST00005,CUST00009,10,4,3,3
CUST00005,CUST00033,9,4,3,2
CUST00005,CUST00053,1,1,0,0
CUST00005,CUST00096,1,1,0,0
CUST00005,CUST00136,1,1,0,0
CUST00005,CUST00266,1,1,0,0
CUST00005,CUST00274,9,4,3,2
CUST00005,CUST00303,2,1,0,1
CUST00005,CUST00314,1,1,0,0
CUST00005,CUST00504,10,4,3,3
CUST00005,CUST00560,9,4,3,2
CUST00005,CUST00659,10,4,3,3
CUST00005,CUST00673,8,4,3,1
CUST00005,CUST00700,10,4,3,3
CUST00005,CUST00781,1,1,0,0
CUST00005,CUST00802,1,1,0,0
CUST00005,CUST00928,9,4,3,2
CUST00005,CUST00942,9,4,3,2
CUST00005,CUST00976,9,4,3,2
CUST00005,CUST01048,2,2,0,0
CUST00005,CUST01141,1,1,0,0
CUST00005,CUST01228,10,4,3,3
CUST00005,CUST01247,9,4,3,2
CUST00005,CUST01270,1,1,0,0
CUST00005,CUST01324,9,4,3,2
CUST00005,CUST01357,9,4,3,2
CUST00005,CUST01417,11,4,3,4
CUST00005,CUST01478,2,1,1,0
CUST00005,CUST01737,1,1,0,0
CUST00005,CUST01779,1,1,0,0
CUST00005,CUST01837,1,1,0,0
CUST00005,CUST01847,9,4,3,2
CUST00005,CUST01872,9,4,3,2
CUST00005,CUST01889,9,4,3,2
CUST00005,CUST01893,1,1,0,0
CUST00005,CUST01981,9,4,3,2
CUST00009,CUST00033,10,4,3,3
CUST00009,CUST00053,1,1,0,0
CUST00009,CUST00096,1,1,0,0
CUST00009,CUST00136,1,1,0,0
CUST00009,CUST00266,1,1,0,0
CUST00009,CUST00274,9,4,3,2
CUST00009,CUST00303,2,1,0,1
CUST00009,CUST00314,1,1,0,0
CUST00009,CUST00504,10,4,3,3
CUST00009,CUST00560,9,4,3,2
CUST00009,CUST00659,9,4,3,2
CUST00009,CUST00673,9,4,3,2
CUST00009,CUST00700,12,4,3,5
CUST00009,CUST00781,1,1,0,0
CUST00009,CUST00802,1,1,0,0
CUST00009,CUST00928,7,4,3,0
CUST00009,CUST00942,9,4,3,2
CUST00009,CUST00976,9,4,3,2
CUST00009,CUST01048,2,2,0,0
CUST00009,CUST01141,1,1,0,0
CUST00009,CUST01228,11,4,3,4
