customer_id,graph_degree,graph_weighted_degree,graph_max_edge_weight,connected_component_id,connected_component_size,num_distinct_devices_used,num_distinct_ips_used
CUST00001,455,512,3,0,2000,8,8
CUST00002,762,955,5,0,2000,14,14
CUST00003,257,279,2,0,2000,5,5
CUST00004,404,438,3,0,2000,7,7
CUST00005,636,1027,11,0,2000,4,3
CUST00006,457,537,3,0,2000,9,9
CUST00007,635,755,4,0,2000,13,13
CUST00008,531,610,3,0,2000,10,10
CUST00009,706,1169,13,0,2000,4,3
CUST00010,729,902,5,0,2000,14,14
CUST00011,367,415,3,0,2000,7,7
CUST00012,585,687,3,0,2000,8,8
CUST00013,664,826,4,0,2000,13,12
CUST00014,807,1044,4,0,2000,14,13
CUST00015,596,931,11,0,2000,4,3
CUST00016,525,603,3,0,2000,7,7
CUST00017,277,299,3,0,2000,5,5
CUST00018,763,1263,13,0,2000,4,3
CUST00019,642,784,3,0,2000,13,13
CUST00020,618,968,10,0,2000,4,3
CUST00021,614,718,4,0,2000,11,11
CUST00022,298,322,4,0,2000,6,6
CUST00023,381,422,3,0,2000,7,7
CUST00024,592,711,4,0,2000,12,12
CUST00025,802,1020,4,0,2000,14,14
CUST00026,432,489,3,0,2000,8,8
CUST00027,512,588,3,0,2000,12,10
CUST00028,569,665,3,0,2000,11,11
CUST00029,640,759,4,0,2000,12,12
CUST00030,398,454,3,0,2000,5,5
CUST00031,400,445,2,0,2000,6,6
CUST00032,593,729,5,0,2000,11,11
CUST00033,616,1004,12,0,2000,4,3
CUST00034,663,834,4,0,2000,11,11
CUST00035,450,499,4,0,2000,8,8
CUST00036,686,842,3,0,2000,14,15
CUST00037,582,675,3,0,2000,11,11
CUST00038,562,653,4,0,2000,10,10
CUST00039,709,903,5,0,2000,15,15
CUST00040,717,888,4,0,2000,14,14
CUST00041,640,1053,11,0,2000,4,3
CUST00042,727,905,4,0,2000,15,15
CUST00043,755,957,4,0,2000,15,15
CUST00044,349,387,3,0,2000,7,7
CUST00045,569,663,4,0,2000,9,9
CUST00046,541,618,3,0,2000,10,10
CUST00047,340,375,3,0,2000,6,6
CUST00048,737,912,4,0,2000,14,14
CUST00049,357,391,3,0,2000,7,7
CUST00050,332,357,3,0,2000,5,5
CUST00051,387,431,3,0,2000,6,6
CUST00052,397,449,3,0,2000,6,6
CUST00053,533,628,3,0,2000,11,11
CUST00054,389,426,3,0,2000,6,6
CUST00055,648,802,4,0,2000,12,12
CUST00056,280,294,2,0,2000,5,5
CUST00057,582,694,4,0,2000,11,11
CUST00058,274,298,3,0,2000,5,5
CUST00059,562,651,3,0,2000,10,10
CUST00060,592,700,3,0,2000,9,9
CUST00061,583,708,4,0,2000,13,12
CUST00062,616,721,4,0,2000,11,11
CUST00063,394,441,3,0,2000,7,7
CUST00064,654,1065,11,0,2000,4,3
CUST00065,783,996,4,0,2000,14,14
CUST00066,657,791,3,0,2000,13,13
CUST00067,546,628,4,0,2000,9,9
CUST00068,718,901,4,0,2000,13,14
CUST00069,700,863,5,0,2000,14,14
CUST00070,713,890,4,0,2000,15,15
CUST00071,434,479,3,0,2000,6,6
CUST00072,528,609,3,0,2000,9,9
CUST00073,574,691,4,0,2000,12,12
CUST00074,803,1020,5,0,2000,15,15
CUST00075,668,826,4,0,2000,13,13
CUST00076,503,759,11,0,2000,4,3
CUST00077,327,357,3,0,2000,6,6
CUST00078,715,909,4,0,2000,14,14
CUST00079,449,493,3,0,2000,7,7
CUST00080,704,875,3,0,2000,15,14
CUST00081,487,564,3,0,2000,10,10
CUST00082,563,666,3,0,2000,10,10
CUST00083,497,565,3,0,2000,9,9
CUST00084,433,477,4,0,2000,6,6
CUST00085,655,773,4,0,2000,11,11
CUST00086,823,1060,4,0,2000,13,13
CUST00087,735,930,5,0,2000,15,15
CUST00088,513,588,4,0,2000,10,11
CUST00089,804,1045,4,0,2000,14,14
CUST00090,664,813,4,0,2000,11,12
CUST00091,578,674,4,0,2000,11,11
CUST00092,368,401,3,0,2000,6,6
CUST00093,369,410,3,0,2000,7,7
CUST00094,576,874,11,0,2000,4,3
CUST00095,707,856,5,0,2000,15,15
CUST00096,634,770,4,0,2000,13,13
CUST00097,545,667,3,0,2000,12,12
CUST00098,739,928,4,0,2000,15,15
CUST00099,871,1174,5,0,2000,14,14
CUST00100,783,974,4,0,2000,15,15
CUST00101,654,834,4,0,2000,12,12
CUST00102,272,294,2,0,2000,5,5
CUST00103,437,480,3,0,2000,7,7
CUST00104,393,433,3,0,2000,6,6
CUST00105,295,318,3,0,2000,6,6
CUST00106,594,710,4,0,2000,13,13
CUST00107,305,325,3,0,2000,5,5
CUST00108,552,633,3,0,2000,10,10
CUST00109,536,613,3,0,2000,9,9
CUST00110,646,760,3,0,2000,11,10
CUST00111,515,591,4,0,2000,10,10
CUST00112,483,546,3,0,2000,10,10
CUST00113,445,495,3,0,2000,7,7
CUST00114,829,1059,4,0,2000,15,15
CUST00115,553,644,4,0,2000,10,10
CUST00116,511,587,3,0,2000,9,9
CUST00117,549,653,4,0,2000,12,12
CUST00118,493,556,3,0,2000,8,8
CUST00119,839,1104,5,0,2000,13,13
CUST00120,301,320,2,0,2000,5,5
CUST00121,774,985,4,0,2000,15,14
CUST00122,307,331,3,0,2000,5,5
CUST00123,801,998,4,0,2000,15,15
CUST00124,556,634,3,0,2000,9,9
CUST00125,693,819,3,0,2000,13,13
CUST00126,687,877,4,0,2000,13,13
CUST00127,592,695,4,0,2000,10,10
CUST00128,603,719,4,0,2000,10,11
CUST00129,664,843,4,0,2000,13,13
CUST00130,535,610,3,0,2000,9,9
CUST00131,539,625,3,0,2000,9,9
CUST00132,518,600,3,0,2000,10,10
CUST00133,310,344,3,0,2000,6,6
CUST00134,529,634,3,0,2000,11,11
CUST00135,416,456,3,0,2000,6,6
CUST00136,497,579,4,0,2000,8,8
CUST00137,363,405,3,0,2000,7,7
CUST00138,640,785,4,0,2000,14,14
CUST00139,391,443,3,0,2000,8,8
CUST00140,265,282,2,0,2000,5,5
CUST00141,587,708,4,0,2000,8,8
CUST00142,689,857,4,0,2000,13,13
CUST00143,512,583,3,0,2000,8,8
CUST00144,569,876,12,0,2000,4,3
CUST00145,533,624,3,0,2000,11,11
CUST00146,707,865,4,0,2000,13,13
CUST00147,671,809,4,0,2000,12,12
CUST00148,735,932,4,0,2000,12,12
CUST00149,616,735,5,0,2000,10,9
CUST00150,525,608,4,0,2000,11,11
CUST00151,876,1188,6,0,2000,14,14
CUST00152,329,367,3,0,2000,7,7
CUST00153,408,449,3,0,2000,8,8
CUST00154,859,1115,4,0,2000,15,15
CUST00155,720,901,4,0,2000,10,9
CUST00156,578,710,4,0,2000,11,11
CUST00157,681,840,3,0,2000,13,13
CUST00158,515,598,3,0,2000,8,8
CUST00159,701,1184,11,0,2000,4,3
CUST00160,383,422,4,0,2000,7,6
CUST00161,487,538,4,0,2000,6,6
CUST00162,546,630,3,0,2000,10,9
CUST00163,432,477,3,0,2000,7,7
CUST00164,716,902,5,0,2000,14,14
CUST00165,318,342,3,0,2000,6,6
CUST00166,508,606,4,0,2000,9,9
CUST00167,502,746,9,0,2000,4,3
CUST00168,407,468,4,0,2000,8,8
CUST00169,504,584,3,0,2000,10,10
CUST00170,781,975,4,0,2000,14,14
CUST00171,308,333,3,0,2000,6,6
CUST00172,251,268,2,0,2000,5,5
CUST00173,828,1065,4,0,2000,15,15
CUST00174,478,541,4,0,2000,10,9
CUST00175,544,647,3,0,2000,10,10
CUST00176,308,334,2,0,2000,6,5
CUST00177,306,336,3,0,2000,6,6
CUST00178,327,361,3,0,2000,7,6
CUST00179,543,632,3,0,2000,10,10
CUST00180,686,840,4,0,2000,12,12
CUST00181,686,869,4,0,2000,15,15
CUST00182,799,1008,4,0,2000,13,14
CUST00183,703,860,4,0,2000,14,12
CUST00184,594,890,11,0,2000,4,3
CUST00185,545,836,11,0,2000,4,3
CUST00186,542,634,4,0,2000,10,10
CUST00187,529,618,4,0,2000,8,9
CUST00188,489,546,3,0,2000,8,8
CUST00189,716,880,5,0,2000,14,14
CUST00190,573,684,6,0,2000,12,11
CUST00191,832,1084,4,0,2000,15,14
CUST00192,861,1160,4,0,2000,13,13
CUST00193,480,564,3,0,2000,11,10
CUST00194,675,813,4,0,2000,14,13
CUST00195,780,1017,5,0,2000,13,13
CUST00196,600,729,4,0,2000,13,13
CUST00197,770,970,4,0,2000,15,15
CUST00198,619,742,3,0,2000,13,13
CUST00199,431,485,3,0,2000,8,8
CUST00200,261,276,2,0,2000,5,5
CUST00201,413,475,3,0,2000,9,9
CUST00202,664,794,4,0,2000,11,11
CUST00203,381,421,3,0,2000,5,6
CUST00204,709,873,4,0,2000,13,13
CUST00205,500,589,3,0,2000,10,10
CUST00206,516,601,3,0,2000,10,10
CUST00207,445,487,2,0,2000,7,7
CUST00208,272,291,3,0,2000,5,5
CUST00209,668,821,3,0,2000,12,12
CUST00210,740,917,4,0,2000,11,11
CUST00211,542,639,5,0,2000,9,10
CUST00212,428,482,3,0,2000,8,8
CUST00213,430,486,3,0,2000,8,8
CUST00214,312,337,2,0,2000,6,6
CUST00215,609,744,3,0,2000,10,10
CUST00216,613,749,6,0,2000,13,14
CUST00217,737,913,4,0,2000,13,13
CUST00218,452,534,4,0,2000,10,10
CUST00219,623,776,3,0,2000,15,15
CUST00220,550,632,3,0,2000,11,11
CUST00221,719,890,4,0,2000,15,15
CUST00222,626,754,4,0,2000,14,14
CUST00223,640,762,3,0,2000,12,12
CUST00224,252,272,2,0,2000,5,5
CUST00225,509,582,3,0,2000,8,8
CUST00226,720,878,4,0,2000,14,14
CUST00227,600,708,3,0,2000,9,9
CUST00228,629,917,9,0,2000,4,3
CUST00229,536,627,4,0,2000,11,11
CUST00230,371,408,3,0,2000,6,6
