customer_id,cluster_id,cluster_size
CUST01158,0,47
CUST01799,0,47
CUST00694,0,47
CUST00608,0,47
CUST01953,0,47
CUST01970,0,47
CUST01141,0,47
CUST01722,0,47
CUST00682,0,47
CUST01249,0,47
CUST01209,0,47
CUST00320,0,47
CUST01476,0,47
CUST00811,0,47
CUST01882,0,47
CUST01120,0,47
CUST00085,0,47
CUST00117,0,47
CUST01112,0,47
CUST01823,0,47
CUST01641,0,47
CUST01387,0,47
CUST00443,0,47
CUST00132,0,47
CUST00270,0,47
CUST00590,0,47
CUST01307,0,47
CUST01733,0,47
CUST00643,0,47
CUST01528,0,47
CUST00805,0,47
CUST00201,0,47
CUST00869,0,47
CUST01113,0,47
CUST01586,0,47
CUST01047,0,47
CUST00531,0,47
CUST00503,0,47
CUST00358,0,47
CUST01274,0,47
CUST00057,0,47
CUST01336,0,47
CUST00895,0,47
CUST00352,0,47
CUST01173,0,47
CUST00798,0,47
CUST00109,0,47
CUST00104,1,42
CUST00603,1,42
CUST00766,1,42
CUST01522,1,42
CUST00570,1,42
CUST00838,1,42
CUST01400,1,42
CUST00709,1,42
CUST01454,1,42
CUST01492,1,42
CUST00623,1,42
CUST01826,1,42
CUST00070,1,42
CUST00470,1,42
CUST01529,1,42
CUST00017,1,42
CUST00663,1,42
CUST01086,1,42
CUST01134,1,42
CUST00725,1,42
CUST00414,1,42
CUST00333,1,42
CUST00943,1,42
CUST01676,1,42
CUST01073,1,42
CUST00716,1,42
CUST00829,1,42
CUST00315,1,42
CUST00101,1,42
CUST00687,1,42
CUST01830,1,42
CUST01092,1,42
CUST01106,1,42
CUST01585,1,42
CUST00964,1,42
CUST00546,1,42
CUST00681,1,42
CUST00271,1,42
CUST00481,1,42
CUST00794,1,42
CUST01017,1,42
CUST01020,1,42
CUST01046,2,35
CUST00760,2,35
CUST00452,2,35
CUST00349,2,35
CUST00409,2,35
CUST00197,2,35
CUST01630,2,35
CUST01837,2,35
CUST00562,2,35
CUST01050,2,35
CUST00701,2,35
CUST00308,2,35
CUST00207,2,35
CUST01842,2,35
CUST01656,2,35
CUST00396,2,35
CUST01355,2,35
CUST01401,2,35
CUST01438,2,35
CUST00573,2,35
CUST01561,2,35
CUST01172,2,35
CUST01004,2,35
CUST01612,2,35
CUST01074,2,35
CUST01162,2,35
CUST01670,2,35
CUST00788,2,35
CUST00277,2,35
CUST00978,2,35
CUST01995,2,35
CUST00194,2,35
CUST01686,2,35
CUST01090,2,35
CUST01146,2,35
CUST01763,3,34
CUST00097,3,34
CUST01917,3,34
CUST01578,3,34
CUST00378,3,34
CUST01613,3,34
CUST01802,3,34
CUST00883,3,34
CUST00699,3,34
CUST00661,3,34
CUST01537,3,34
CUST01271,3,34
CUST00063,3,34
CUST00279,3,34
CUST01507,3,34
CUST00116,3,34
