transaction_id,customer_id,ring_id,timestamp,amount,hour_of_day,day_of_week,account_age_days,kyc_verified,customer_txn_number,customer_avg_amount_before,amount_zscore,customer_refund_count_before,customer_chargeback_count_before,coupon_used,coupon_usage_count_before,coupon_max_uses,coupon_over_limit,device_distinct_customers,ip_distinct_customers,num_payment_instruments,instrument_card,instrument_upi,instrument_wallet,merchant_risk_high,merchant_risk_low,merchant_risk_medium,label,split
TXN006389,CUST00605,,2025-01-01 00:07:09,1617.44,0,2,0,0,1,1617.44,0.0,0,0,0,0,-1.0,0,1,3,1,False,True,False,False,True,False,False,train
TXN009918,CUST00926,,2025-01-01 01:30:59,6325.01,1,2,0,1,1,6325.01,0.0,0,0,0,0,-1.0,0,2,2,1,False,True,False,False,True,False,False,train
TXN012290,CUST01146,,2025-01-01 01:34:21,7130.42,1,2,0,1,1,7130.42,0.0,0,0,0,0,-1.0,0,1,1,2,False,False,True,False,True,False,False,train
TXN013445,CUST01258,,2025-01-01 02:11:37,2887.65,2,2,0,1,1,2887.65,0.0,0,0,0,0,-1.0,0,2,5,1,False,False,True,False,True,False,False,train
TXN015672,CUST01463,,2025-01-01 02:19:51,8195.71,2,2,0,1,1,8195.71,0.0,0,0,0,0,-1.0,0,8,8,2,False,True,False,True,False,False,False,train
TXN007268,CUST00682,,2025-01-01 02:49:12,5257.09,2,2,0,1,1,5257.09,0.0,0,0,0,0,-1.0,0,3,4,1,True,False,False,False,True,False,False,train
TXN017583,CUST01629,,2025-01-01 02:51:35,2681.01,2,2,0,1,1,2681.01,0.0,0,0,1,0,100.0,0,2,5,1,True,False,False,False,False,True,False,train
TXN000292,CUST00027,,2025-01-01 03:40:36,8419.49,3,2,0,1,1,8419.49,0.0,0,0,0,0,-1.0,0,2,6,2,True,False,False,False,True,False,False,train
TXN013575,CUST01269,,2025-01-01 03:45:10,11774.39,3,2,0,1,1,11774.39,0.0,0,0,0,0,-1.0,0,2,3,2,False,False,True,False,True,False,False,train
TXN012666,CUST01182,,2025-01-01 04:40:06,10049.27,4,2,0,1,1,10049.27,0.0,0,0,0,0,-1.0,0,3,3,2,False,True,False,False,True,False,False,train
TXN006047,CUST00572,RING003,2025-01-01 04:49:00,685.37,4,2,0,1,1,685.37,0.0,0,0,0,0,-1.0,0,21,17,1,False,False,True,False,False,True,True,train
TXN014421,CUST01351,,2025-01-01 05:46:02,7129.23,5,2,0,1,1,7129.23,0.0,0,0,0,0,-1.0,0,9,5,1,True,False,False,False,True,False,False,train
TXN021513,CUST01989,,2025-01-01 05:59:39,8778.75,5,2,0,1,1,8778.75,0.0,0,0,0,0,-1.0,0,4,4,2,False,True,False,False,True,False,False,train
TXN007604,CUST00712,,2025-01-01 08:24:16,14487.08,8,2,0,0,1,14487.08,0.0,0,0,0,0,-1.0,0,2,5,1,False,False,True,False,True,False,False,train
TXN000052,CUST00005,,2025-01-01 08:37:33,9359.74,8,2,0,1,1,9359.74,0.0,0,0,0,0,-1.0,0,8,4,2,True,False,False,False,False,True,False,train
TXN014094,CUST01321,,2025-01-01 08:41:45,3352.28,8,2,0,1,1,3352.28,0.0,0,0,0,0,-1.0,0,4,1,1,True,False,False,False,True,False,False,train
TXN014281,CUST01339,,2025-01-01 09:38:50,1940.31,9,2,0,1,1,1940.31,0.0,0,0,0,0,-1.0,0,1,5,2,False,False,True,False,True,False,False,train
TXN014272,CUST01338,,2025-01-01 10:44:43,8596.4,10,2,0,1,1,8596.4,0.0,0,0,0,0,-1.0,0,2,4,2,True,False,False,False,False,True,False,train
TXN016595,CUST01540,,2025-01-01 13:03:54,887.56,13,2,0,1,1,887.56,0.0,0,0,0,0,-1.0,0,3,4,1,False,False,True,False,True,False,False,train
TXN009291,CUST00870,,2025-01-01 13:35:33,4135.86,13,2,0,1,1,4135.86,0.0,0,0,0,0,-1.0,0,1,5,2,False,True,False,False,True,False,False,train
TXN002419,CUST00227,,2025-01-01 13:40:21,12055.77,13,2,0,1,1,12055.77,0.0,0,0,0,0,-1.0,0,6,6,1,False,True,False,False,False,True,False,train
TXN017720,CUST01639,,2025-01-01 13:54:16,3396.17,13,2,0,1,1,3396.17,0.0,0,0,0,0,-1.0,0,2,4,1,False,True,False,False,True,False,False,train
TXN006990,CUST00656,,2025-01-01 14:28:17,4858.98,14,2,0,1,1,4858.98,0.0,0,0,1,0,100.0,0,6,4,2,True,False,False,False,True,False,False,train
TXN012902,CUST01204,RING006,2025-01-01 16:16:42,267.89,16,2,0,0,1,267.89,0.0,0,0,0,0,-1.0,0,15,13,2,False,True,False,True,False,False,True,train
TXN010759,CUST01003,,2025-01-01 16:43:53,951.85,16,2,0,1,1,951.85,0.0,0,0,0,0,-1.0,0,4,2,2,False,False,True,False,False,True,False,train
