transaction_id,customer_id,ring_id,timestamp,amount,hour_of_day,day_of_week,account_age_days,kyc_verified,customer_txn_number,customer_avg_amount_before,amount_zscore,customer_refund_count_before,customer_chargeback_count_before,coupon_used,coupon_usage_count_before,coupon_max_uses,coupon_over_limit,device_distinct_customers,ip_distinct_customers,num_payment_instruments,instrument_card,instrument_upi,instrument_wallet,merchant_risk_high,merchant_risk_low,merchant_risk_medium,label,split,anomaly_score,ml_risk_score,anomaly_score_clipped,graph_risk_score,combined_risk_score,decision
TXN006389,CUST00605,,2025-01-01 00:07:09,1617.44,0,2,0,0,1,1617.44,0.0,0,0,0,0,-1.0,0,1,3,1,False,True,False,False,True,False,False,train,0.2497,8.4129184e-05,0.2497,1.0,0.35,STEP_UP_VERIFICATION
TXN009918,CUST00926,,2025-01-01 01:30:59,6325.01,1,2,0,1,1,6325.01,0.0,0,0,0,0,-1.0,0,2,2,1,False,True,False,False,True,False,False,train,0.1312,9.873655e-05,0.1312,0.0,0.0263,ALLOW
TXN012290,CUST01146,,2025-01-01 01:34:21,7130.42,1,2,0,1,1,7130.42,0.0,0,0,0,0,-1.0,0,1,1,2,False,False,True,False,True,False,False,train,0.1844,0.00011449102,0.1844,1.0,0.3369,STEP_UP_VERIFICATION
TXN013445,CUST01258,,2025-01-01 02:11:37,2887.65,2,2,0,1,1,2887.65,0.0,0,0,0,0,-1.0,0,2,5,1,False,False,True,False,True,False,False,train,0.1754,7.954934e-05,0.1754,0.0,0.0351,ALLOW
TXN015672,CUST01463,,2025-01-01 02:19:51,8195.71,2,2,0,1,1,8195.71,0.0,0,0,0,0,-1.0,0,8,8,2,False,True,False,True,False,False,False,train,0.1523,0.00011602815,0.1523,0.0,0.0305,ALLOW
TXN007268,CUST00682,,2025-01-01 02:49:12,5257.09,2,2,0,1,1,5257.09,0.0,0,0,0,0,-1.0,0,3,4,1,True,False,False,False,True,False,False,train,0.0936,8.711776e-05,0.0936,1.0,0.3188,STEP_UP_VERIFICATION
TXN017583,CUST01629,,2025-01-01 02:51:35,2681.01,2,2,0,1,1,2681.01,0.0,0,0,1,0,100.0,0,2,5,1,True,False,False,False,False,True,False,train,0.182,0.00010420389,0.182,1.0,0.3365,STEP_UP_VERIFICATION
TXN000292,CUST00027,,2025-01-01 03:40:36,8419.49,3,2,0,1,1,8419.49,0.0,0,0,0,0,-1.0,0,2,6,2,True,False,False,False,True,False,False,train,0.0825,0.00010112164,0.0825,0.0,0.0166,ALLOW
TXN013575,CUST01269,,2025-01-01 03:45:10,11774.39,3,2,0,1,1,11774.39,0.0,0,0,0,0,-1.0,0,2,3,2,False,False,True,False,True,False,False,train,0.1467,0.00010286682,0.1467,0.0,0.0294,ALLOW
TXN012666,CUST01182,,2025-01-01 04:40:06,10049.27,4,2,0,1,1,10049.27,0.0,0,0,0,0,-1.0,0,3,3,2,False,True,False,False,True,False,False,train,0.0857,3.966415e-05,0.0857,1.0,0.3172,STEP_UP_VERIFICATION
TXN006047,CUST00572,RING003,2025-01-01 04:49:00,685.37,4,2,0,1,1,685.37,0.0,0,0,0,0,-1.0,0,21,17,1,False,False,True,False,False,True,True,train,0.5526,0.9990798,0.5526,1.0,0.9101,BLOCK
TXN014421,CUST01351,,2025-01-01 05:46:02,7129.23,5,2,0,1,1,7129.23,0.0,0,0,0,0,-1.0,0,9,5,1,True,False,False,False,True,False,False,train,0.0988,0.00081888423,0.0988,0.0,0.0202,ALLOW
TXN021513,CUST01989,,2025-01-01 05:59:39,8778.75,5,2,0,1,1,8778.75,0.0,0,0,0,0,-1.0,0,4,4,2,False,True,False,False,True,False,False,train,0.0445,5.337342e-05,0.0445,1.0,0.3089,STEP_UP_VERIFICATION
TXN007604,CUST00712,,2025-01-01 08:24:16,14487.08,8,2,0,0,1,14487.08,0.0,0,0,0,0,-1.0,0,2,5,1,False,False,True,False,True,False,False,train,0.2213,3.7054102e-05,0.2213,1.0,0.3443,STEP_UP_VERIFICATION
