chargeback_id,transaction_id,reason,filed_at,resolved,resolution
CB00001,TXN000022,goods_not_received,2025-07-17T13:50:38,False,pending
CB00002,TXN000051,billing_error,2025-05-11T15:48:56,False,pending
CB00003,TXN000052,goods_not_received,2025-12-15T11:10:02,True,customer_won
CB00004,TXN000094,unauthorized_transaction,2025-12-29T16:08:38,True,merchant_won
CB00005,TXN000210,unauthorized_transaction,2025-08-08T02:38:38,False,merchant_won
CB00006,TXN000213,unauthorized_transaction,2025-09-21T15:30:46,False,merchant_won
CB00007,TXN000255,goods_not_received,2025-12-12T18:34:14,False,customer_won
CB00008,TXN000257,unauthorized_transaction,2025-08-23T23:00:27,True,customer_won
CB00009,TXN000263,billing_error,2025-02-06T13:32:51,True,customer_won
CB00010,TXN000265,goods_not_received,2025-12-19T17:26:12,True,merchant_won
CB00011,TXN000400,goods_not_received,2026-05-04T09:49:54,True,pending
CB00012,TXN000408,goods_not_received,2025-12-18T08:21:40,True,merchant_won
CB00013,TXN000476,billing_error,2026-05-11T14:15:05,True,customer_won
CB00014,TXN000513,billing_error,2025-10-28T20:30:54,False,customer_won
CB00015,TXN000568,billing_error,2026-06-26T07:57:31,False,customer_won
CB00016,TXN000745,goods_not_received,2026-06-23T20:44:39,False,merchant_won
CB00017,TXN000885,goods_not_received,2025-05-07T13:07:49,False,pending
CB00018,TXN000900,goods_not_received,2025-12-16T04:41:07,True,customer_won
CB00019,TXN000929,goods_not_received,2026-06-25T17:39:45,True,pending
CB00020,TXN001086,goods_not_received,2025-07-20T12:02:41,False,pending
CB00021,TXN001097,goods_not_received,2025-10-03T20:24:28,False,pending
CB00022,TXN001303,goods_not_received,2025-08-22T07:43:40,True,pending
CB00023,TXN001478,unauthorized_transaction,2025-08-28T13:45:59,True,pending
CB00024,TXN001625,goods_not_received,2025-02-09T11:15:44,False,merchant_won
CB00025,TXN001628,billing_error,2026-03-24T04:49:38,True,merchant_won
CB00026,TXN001642,goods_not_received,2025-09-12T00:24:05,True,merchant_won
CB00027,TXN001739,billing_error,2026-04-29T11:20:30,False,customer_won
CB00028,TXN001751,billing_error,2025-09-18T19:19:10,True,merchant_won
CB00029,TXN001784,goods_not_received,2026-05-25T02:18:47,True,customer_won
CB00030,TXN001793,billing_error,2025-01-31T17:02:55,False,pending
CB00031,TXN001795,billing_error,2025-04-04T05:03:34,False,customer_won
CB00032,TXN001882,unauthorized_transaction,2025-09-24T14:56:48,True,pending
CB00033,TXN002041,unauthorized_transaction,2025-09-30T02:07:30,False,customer_won
CB00034,TXN002056,goods_not_received,2025-07-18T13:04:55,True,pending
CB00035,TXN002072,goods_not_received,2026-02-15T12:06:49,False,pending
CB00036,TXN002073,goods_not_received,2026-03-09T19:38:45,False,pending
CB00037,TXN002084,billing_error,2025-04-06T13:11:30,False,pending
CB00038,TXN002142,goods_not_received,2025-07-14T11:46:36,True,customer_won
CB00039,TXN002557,billing_error,2025-04-09T19:45:09,True,pending
CB00040,TXN002558,billing_error,2026-03-30T14:36:46,True,pending
CB00041,TXN002769,billing_error,2025-10-05T11:12:28,True,merchant_won
CB00042,TXN002776,billing_error,2026-04-16T22:42:21,True,pending
CB00043,TXN002792,billing_error,2025-05-04T17:24:30,False,pending
CB00044,TXN002794,goods_not_received,2025-02-02T04:14:08,False,customer_won
CB00045,TXN002799,billing_error,2025-11-08T05:48:01,True,merchant_won
CB00046,TXN002808,unauthorized_transaction,2025-01-05T07:58:50,True,pending
CB00047,TXN002844,unauthorized_transaction,2025-07-16T10:14:57,False,customer_won
CB00048,TXN002851,goods_not_received,2025-06-04T07:56:24,False,pending
CB00049,TXN002857,unauthorized_transaction,2025-07-06T07:11:32,True,merchant_won
CB00050,TXN002859,goods_not_received,2026-04-20T06:04:46,True,merchant_won
