coupon_id,code,discount_type,discount_value,max_uses,campaign_id
COUP00001,SAVEKRYT,flat,87.93,200,CAMP007
COUP00002,SAVEHPFF,percentage,18.01,200,CAMP004
COUP00003,SAVEFTNT,percentage,17.79,200,CAMP009
COUP00004,SAVEQHDU,flat,390.67,100,CAMP001
COUP00005,SAVEPYAN,percentage,27.26,200,CAMP004
COUP00006,SAVEGSWG,flat,376.93,50,CAMP001
COUP00007,SAVENAGP,flat,166.89,200,CAMP002
COUP00008,SAVEUOOK,percentage,23.91,50,CAMP008
COUP00009,SAVESHMR,flat,307.6,50,CAMP008
COUP00010,SAVEHUMV,flat,492.33,100,CAMP006
COUP00011,SAVEFDJW,flat,178.04,100,CAMP007
COUP00012,SAVEYGVI,percentage,7.63,100,CAMP006
COUP00013,SAVENSSF,flat,94.09,500,CAMP007
COUP00014,SAVEKUML,percentage,7.31,500,CAMP003
COUP00015,SAVENAZU,flat,146.65,50,CAMP006
COUP00016,SAVEEHKP,flat,314.71,500,CAMP005
COUP00017,SAVEGSXA,flat,336.41,500,CAMP008
COUP00018,SAVEYIMR,flat,420.72,100,CAMP009
COUP00019,SAVEHCPQ,percentage,17.12,500,CAMP003
COUP00020,SAVELPKM,percentage,22.36,500,CAMP008
COUP00021,SAVEXOSB,percentage,23.66,200,CAMP002
COUP00022,SAVEXOGZ,flat,99.65,200,CAMP010
COUP00023,SAVENFPK,flat,68.13,100,CAMP002
COUP00024,SAVEXLYC,flat,187.22,200,CAMP005
COUP00025,SAVENSYZ,flat,268.67,100,CAMP003
COUP00026,SAVEACSM,flat,71.89,200,CAMP005
COUP00027,SAVEIEUV,percentage,9.58,500,CAMP001
COUP00028,SAVEPZPW,percentage,18.69,50,CAMP001
COUP00029,SAVEBRNC,flat,266.53,200,CAMP010
COUP00030,SAVEPPEV,flat,455.13,500,CAMP008
COUP00031,SAVEPUOP,percentage,24.05,500,CAMP008
COUP00032,SAVEPIXH,flat,117.04,200,CAMP002
COUP00033,SAVEFUSH,flat,224.26,500,CAMP006
COUP00034,SAVEPWHZ,percentage,28.95,500,CAMP005
COUP00035,SAVEKUYX,percentage,26.65,50,CAMP010
COUP00036,SAVEGLIQ,flat,302.47,50,CAMP009
COUP00037,SAVEJGTJ,percentage,9.81,50,CAMP010
COUP00038,SAVEFORD,percentage,23.76,50,CAMP002
COUP00039,SAVEDIHO,percentage,29.06,200,CAMP004
COUP00040,SAVEFNQI,percentage,25.74,500,CAMP002
