device_id,device_fingerprint,os,browser
DEV00001,9f15394ed99bd20f,Android,Chrome
DEV00002,c7c428b299888c94,macOS,Safari
DEV00003,bef529c065143bd6,Linux,App-WebView
DEV00004,aaf41907f08c3c10,Android,Edge
DEV00005,c218294ca7c7fccd,Linux,Edge
DEV00006,2ee49d23e8b9a710,Windows,Chrome
DEV00007,608d5bd25c2e5ce3,Linux,Edge
DEV00008,75f457404a927923,iOS,Edge
DEV00009,9c893b95c653addd,macOS,Firefox
DEV00010,58ea1b01393ae6de,Linux,App-WebView
DEV00011,0714ae110d84b4cc,Android,Edge
DEV00012,e02e373c7e715f96,iOS,Firefox
DEV00013,8681e4c7434b7afe,macOS,Safari
DEV00014,2ef307f13f45f37f,Android,Firefox
DEV00015,5c2e7809dded12f9,Linux,App-WebView
DEV00016,36c2cd819a7ab18d,macOS,Firefox
DEV00017,63c92a8234fd0b19,iOS,Chrome
DEV00018,509896ddb508c243,Android,App-WebView
DEV00019,6574a4bae0dd04bb,Linux,Chrome
DEV00020,de2b7d75f4252dfb,Linux,Chrome
DEV00021,885cae4884292355,macOS,Safari
DEV00022,09b616325623d75e,Windows,Edge
DEV00023,d926859426977b12,Windows,Chrome
DEV00024,1419423174b82848,iOS,Edge
DEV00025,63a9a66d0ab40ebe,Linux,Firefox
DEV00026,5582c43bb58dc0ed,Windows,App-WebView
DEV00027,27d32768b189655d,macOS,App-WebView
DEV00028,bab677428a10ebba,Windows,App-WebView
DEV00029,c0b212380d2b3909,Windows,Edge
DEV00030,1677b928958d8b6d,iOS,Edge
DEV00031,315e95cb0870299f,Linux,App-WebView
DEV00032,13440119e2b8ef3a,macOS,Safari
DEV00033,5358d967e0be860f,Windows,App-WebView
DEV00034,4f48440946943ac7,Linux,Edge
DEV00035,a2da2f63d79979b4,Windows,Firefox
DEV00036,6d01826fe86be26b,Linux,Firefox
DEV00037,410f2c3edb52b6d5,macOS,Safari
DEV00038,3ed67c73662afd30,Android,Safari
DEV00039,55d036851dfc428f,macOS,Safari
DEV00040,53050cf7ddac9e63,Android,Safari
DEV00041,f3dff7aec91173f4,Linux,Edge
DEV00042,a39698c78a350e7f,Windows,App-WebView
DEV00043,1402a4eeefe48c47,Linux,Chrome
DEV00044,794a07dfcdbadc64,iOS,Edge
DEV00045,acb95a86d2bbec96,Android,Chrome
DEV00046,d09fb33bea7b36ab,iOS,Edge
DEV00047,5d33d15c69647873,Linux,Edge
DEV00048,e161e29dfd801cc0,Android,Chrome
DEV00049,a5631dd5592f3a40,Windows,Safari
DEV00050,b0b219199ad03d6f,Windows,Chrome
DEV00051,6682e640bd6a698e,Linux,Chrome
DEV00052,73676ca620daf313,macOS,Edge
DEV00053,e097133044dbfd30,Linux,App-WebView
DEV00054,767b1a8f104a924c,Windows,App-WebView
DEV00055,550455decd52ca7d,Android,Safari
DEV00056,d677b54a0e3f04f6,macOS,Edge
DEV00057,2d8573aec4a9412f,Android,Safari
DEV00058,567076f150e29563,Linux,Firefox
DEV00059,c06154b7662a45f0,iOS,Chrome
DEV00060,df136de34852f3d0,Linux,App-WebView
DEV00061,b0d69f196abe7471,Linux,Safari
DEV00062,f4ab746b18ec7480,Linux,Safari
DEV00063,fb1ba80bb45fb7a3,Android,Firefox
DEV00064,e3855b688af483c1,iOS,Chrome
DEV00065,dd123b4d877bc5d6,iOS,Chrome
DEV00066,ca9af0edede4af61,Windows,Edge
