merchant_id,name,category,risk_tier
MERCH0001,Edwards-Ramirez,gaming,low
MERCH0002,Garcia and Sons,groceries,low
MERCH0003,Hill-Wiggins,electronics,low
MERCH0004,Hess-Thomas,electronics,low
MERCH0005,West PLC,fashion,low
MERCH0006,Pratt LLC,gaming,low
MERCH0007,Bryant PLC,travel,low
MERCH0008,Mccoy PLC,electronics,high
MERCH0009,Butler-Robinson,food_delivery,low
MERCH0010,"Rodriguez, Scott and Wright",fashion,low
MERCH0011,Miller PLC,gaming,low
MERCH0012,Petty-Ramirez,groceries,high
MERCH0013,"Bradford, Lucero and Moody",digital_services,low
MERCH0014,"Wilson, Moore and Kennedy",food_delivery,high
MERCH0015,Bean-Neal,fashion,low
MERCH0016,Evans Ltd,electronics,low
MERCH0017,Gray-Murphy,electronics,low
MERCH0018,"Smith, Henderson and Martinez",travel,medium
MERCH0019,Cooley-Thompson,groceries,low
MERCH0020,"Parsons, Holloway and Barber",gaming,medium
MERCH0021,"Lopez, Richardson and Mayo",electronics,low
MERCH0022,Ramirez Group,gaming,low
MERCH0023,Rivas-Arnold,fashion,low
MERCH0024,Reynolds LLC,gaming,low
MERCH0025,Graham-Carrillo,electronics,low
MERCH0026,Reed-Silva,groceries,low
MERCH0027,"Monroe, Eaton and Stewart",travel,low
MERCH0028,Moreno-Fernandez,electronics,low
MERCH0029,Hines LLC,fashion,high
MERCH0030,Williams-Wagner,electronics,low
MERCH0031,"Peters, Faulkner and Cervantes",food_delivery,low
MERCH0032,Pittman Group,fashion,medium
MERCH0033,Alvarez Group,digital_services,medium
MERCH0034,Taylor-Mcclain,groceries,low
MERCH0035,Hernandez-Walker,travel,low
MERCH0036,Ward Group,digital_services,low
MERCH0037,"Bridges, Wright and Mcbride",gaming,high
MERCH0038,Wood PLC,groceries,low
MERCH0039,Mckinney-Smith,fashion,medium
MERCH0040,"Gonzalez, Campos and Bailey",food_delivery,high
MERCH0041,"Mullins, Kennedy and Young",food_delivery,low
MERCH0042,Clark Ltd,electronics,medium
MERCH0043,Shaw-Nelson,gaming,low
MERCH0044,Cox Inc,digital_services,high
MERCH0045,"Harrington, Hoffman and Arnold",electronics,low
MERCH0046,"Castillo, Miller and Hall",travel,low
MERCH0047,Miller PLC,groceries,medium
MERCH0048,Hernandez-Wilson,travel,high
MERCH0049,"Arnold, Alexander and Collins",gaming,low
MERCH0050,Wilson-Torres,food_delivery,medium
