attempt_id,transaction_id,attempt_number,result,timestamp
PA000001,TXN000001,1,failed,2026-06-24T20:51:44
PA000002,TXN000002,1,success,2025-11-23T15:02:30
PA000003,TXN000003,1,success,2026-04-09T15:52:17
PA000004,TXN000004,1,success,2025-10-21T18:52:53
PA000005,TXN000005,1,success,2025-07-02T03:19:54
PA000006,TXN000006,1,success,2025-08-19T11:58:02
PA000007,TXN000007,1,success,2025-12-31T13:47:31
PA000008,TXN000008,1,success,2026-06-12T23:01:55
PA000009,TXN000009,1,success,2026-02-03T15:00:06
PA000010,TXN000010,1,success,2025-07-19T21:47:32
PA000011,TXN000011,1,success,2025-10-11T18:41:05
PA000012,TXN000012,1,success,2026-01-04T03:09:54
PA000013,TXN000013,1,declined,2025-09-04T20:43:39
PA000014,TXN000013,2,error,2025-09-04T20:43:39
PA000015,TXN000013,3,pending,2025-09-04T20:43:39
PA000016,TXN000014,1,success,2025-02-20T19:51:37
PA000017,TXN000015,1,success,2025-06-28T19:51:39
PA000018,TXN000016,1,declined,2025-06-14T00:37:27
PA000019,TXN000016,2,error,2025-06-14T00:37:27
PA000020,TXN000016,3,failed,2025-06-14T00:37:27
PA000021,TXN000017,1,success,2026-01-12T12:40:04
PA000022,TXN000018,1,success,2026-02-23T23:13:00
PA000023,TXN000019,1,success,2026-03-05T00:25:52
PA000024,TXN000020,1,success,2026-06-08T17:30:55
PA000025,TXN000021,1,success,2025-05-17T16:47:18
PA000026,TXN000022,1,error,2025-11-21T20:22:05
PA000027,TXN000022,2,failed,2025-11-21T20:22:05
PA000028,TXN000023,1,success,2025-11-18T18:37:36
PA000029,TXN000024,1,success,2025-01-09T10:13:05
PA000030,TXN000025,1,success,2026-06-24T07:19:31
PA000031,TXN000026,1,success,2026-04-16T06:52:15
PA000032,TXN000027,1,success,2026-05-31T00:04:00
PA000033,TXN000028,1,success,2025-04-20T08:52:51
PA000034,TXN000029,1,success,2025-03-24T02:39:01
PA000035,TXN000030,1,success,2026-06-20T13:35:20
PA000036,TXN000031,1,success,2025-04-01T21:25:36
PA000037,TXN000032,1,success,2025-09-11T08:52:56
PA000038,TXN000033,1,failed,2026-02-25T14:19:45
PA000039,TXN000034,1,success,2025-08-07T12:35:16
PA000040,TXN000035,1,success,2025-04-11T14:35:27
PA000041,TXN000036,1,success,2025-02-13T16:04:36
PA000042,TXN000037,1,success,2025-04-26T09:31:32
PA000043,TXN000038,1,success,2025-10-06T18:59:13
PA000044,TXN000039,1,success,2025-12-26T19:27:05
PA000045,TXN000040,1,success,2026-05-18T15:48:57
PA000046,TXN000041,1,pending,2026-01-26T08:57:22
PA000047,TXN000042,1,success,2026-05-10T17:04:14
PA000048,TXN000043,1,success,2025-02-07T00:23:22
PA000049,TXN000044,1,success,2026-02-22T23:15:50
PA000050,TXN000045,1,success,2025-09-17T01:21:46
PA000051,TXN000046,1,success,2026-04-24T15:38:45
