instrument_id,customer_id,type,masked_number,issuer_bank,added_date
PI00001,CUST00001,card,**** 4125,Axis,2026-03-16
PI00002,CUST00002,upi,**** 2246,SBI,2026-08-13
PI00003,CUST00002,upi,**** 1366,SBI,2024-11-07
PI00004,CUST00003,card,**** 5948,ICICI,2025-09-07
PI00005,CUST00004,upi,**** 4353,HDFC,2026-02-23
PI00006,CUST00005,wallet,**** 1497,Axis,2025-08-21
PI00007,CUST00005,card,**** 1235,HDFC,2026-07-30
PI00008,CUST00006,wallet,**** 4847,Axis,2024-09-23
PI00009,CUST00007,wallet,**** 5475,SBI,2025-06-07
PI00010,CUST00007,card,**** 8859,HDFC,2025-01-04
PI00011,CUST00008,wallet,**** 3511,ICICI,2025-12-26
PI00012,CUST00008,card,**** 7513,Yes Bank,2026-06-23
PI00013,CUST00009,card,**** 1608,Axis,2025-04-21
PI00014,CUST00010,upi,**** 7757,ICICI,2025-02-03
PI00015,CUST00011,wallet,**** 1721,Yes Bank,2025-03-07
PI00016,CUST00012,upi,**** 5613,Yes Bank,2026-02-25
PI00017,CUST00013,card,**** 5379,HDFC,2025-10-04
PI00018,CUST00014,upi,**** 4081,ICICI,2026-02-24
PI00019,CUST00014,wallet,**** 8339,IDFC First,2025-02-27
PI00020,CUST00015,wallet,**** 1722,IDFC First,2025-08-06
PI00021,CUST00016,upi,**** 9004,IDFC First,2025-02-02
PI00022,CUST00016,card,**** 1774,SBI,2024-09-07
PI00023,CUST00017,card,**** 7017,Axis,2024-11-20
PI00024,CUST00018,wallet,**** 3685,SBI,2024-12-11
PI00025,CUST00019,upi,**** 9859,ICICI,2025-01-22
PI00026,CUST00019,upi,**** 6681,Axis,2024-12-26
PI00027,CUST00020,wallet,**** 7582,SBI,2025-11-21
PI00028,CUST00021,upi,**** 5791,ICICI,2026-02-17
PI00029,CUST00022,upi,**** 9884,Axis,2024-11-23
PI00030,CUST00022,upi,**** 8073,HDFC,2026-06-04
PI00031,CUST00023,upi,**** 3255,SBI,2024-11-15
PI00032,CUST00023,upi,**** 8644,Axis,2026-07-30
PI00033,CUST00024,wallet,**** 3691,HDFC,2026-02-12
PI00034,CUST00024,upi,**** 9296,IDFC First,2025-01-17
PI00035,CUST00025,card,**** 6597,Kotak,2024-09-30
PI00036,CUST00025,wallet,**** 3612,IDFC First,2025-11-11
PI00037,CUST00026,card,**** 4372,IDFC First,2026-01-25
PI00038,CUST00026,wallet,**** 7493,HDFC,2025-08-30
PI00039,CUST00027,card,**** 9214,Kotak,2024-11-05
PI00040,CUST00028,wallet,**** 2700,Kotak,2025-10-30
PI00041,CUST00029,upi,**** 3698,Yes Bank,2025-09-11
PI00042,CUST00030,wallet,**** 6486,Axis,2026-04-30
PI00043,CUST00031,upi,**** 7116,Kotak,2025-11-23
PI00044,CUST00032,wallet,**** 7435,ICICI,2024-09-02
PI00045,CUST00033,upi,**** 7684,Yes Bank,2026-05-23
PI00046,CUST00033,card,**** 4699,Yes Bank,2025-03-30
PI00047,CUST00034,upi,**** 3551,IDFC First,2026-04-27
PI00048,CUST00034,wallet,**** 4085,Yes Bank,2026-01-16
PI00049,CUST00035,wallet,**** 2766,Axis,2025-05-17
PI00050,CUST00036,card,**** 6022,ICICI,2024-09-20
PI00051,CUST00037,upi,**** 4428,Kotak,2026-08-05
PI00052,CUST00038,card,**** 4129,HDFC,2025-03-27
PI00053,CUST00038,card,**** 1509,SBI,2025-05-28
