refund_id,transaction_id,amount,reason,requested_at,approved
REF00001,TXN000035,14446.81,customer_changed_mind,2026-06-23T18:05:22,False
REF00002,TXN000036,379.57,not_as_described,2025-10-08T15:14:29,True
REF00003,TXN000037,5623.96,customer_changed_mind,2025-06-29T21:19:27,False
REF00004,TXN000041,253.82,not_as_described,2025-02-12T15:16:40,False
REF00005,TXN000043,1808.53,product_not_received,2025-11-27T13:57:31,True
REF00006,TXN000046,13425.0,product_not_received,2025-12-27T08:07:59,False
REF00007,TXN000048,394.62,customer_changed_mind,2025-11-29T21:03:56,True
REF00008,TXN000050,11551.88,product_not_received,2025-05-12T00:47:51,True
REF00009,TXN000051,8631.73,product_not_received,2025-05-11T15:48:56,True
REF00010,TXN000052,5739.65,not_as_described,2025-12-15T11:10:02,True
REF00011,TXN000056,7206.64,product_not_received,2025-07-02T02:34:24,True
REF00012,TXN000057,11081.88,customer_changed_mind,2025-03-02T07:32:56,True
REF00013,TXN000065,3247.98,product_not_received,2025-01-29T08:30:07,False
REF00014,TXN000076,10126.27,product_not_received,2026-03-27T16:01:16,False
REF00015,TXN000079,6137.85,product_not_received,2025-01-05T17:15:40,False
REF00016,TXN000095,8406.29,duplicate_charge,2025-10-26T22:39:15,True
REF00017,TXN000096,14914.55,customer_changed_mind,2026-02-16T23:04:12,True
REF00018,TXN000097,4958.35,customer_changed_mind,2025-11-24T05:12:50,True
REF00019,TXN000098,13509.85,customer_changed_mind,2026-04-08T01:02:00,True
REF00020,TXN000102,3710.02,product_not_received,2025-02-15T16:05:18,False
REF00021,TXN000105,7814.78,product_not_received,2025-07-31T06:01:25,False
REF00022,TXN000125,8620.88,product_not_received,2025-01-03T03:47:18,False
REF00023,TXN000149,7361.99,duplicate_charge,2025-01-17T01:13:26,True
REF00024,TXN000153,12025.1,customer_changed_mind,2025-09-18T10:10:46,True
REF00025,TXN000168,14540.72,not_as_described,2026-06-25T16:30:06,False
REF00026,TXN000176,6788.76,customer_changed_mind,2025-11-23T05:21:00,True
REF00027,TXN000178,1110.99,not_as_described,2025-02-18T20:18:50,True
REF00028,TXN000179,5268.23,customer_changed_mind,2025-06-28T22:57:26,False
REF00029,TXN000184,3002.64,customer_changed_mind,2025-08-22T06:49:20,True
REF00030,TXN000185,5676.4,product_not_received,2025-09-08T07:31:55,True
REF00031,TXN000187,2542.74,customer_changed_mind,2025-03-10T21:31:42,False
REF00032,TXN000188,3269.25,customer_changed_mind,2026-04-14T17:29:45,True
REF00033,TXN000192,8670.95,customer_changed_mind,2026-02-20T11:35:04,True
REF00034,TXN000193,7792.36,customer_changed_mind,2025-07-15T05:43:50,False
REF00035,TXN000194,13352.92,not_as_described,2025-08-16T20:09:44,True
REF00036,TXN000197,10134.18,duplicate_charge,2025-06-21T18:17:48,True
REF00037,TXN000204,12473.06,product_not_received,2025-11-29T11:00:48,False
REF00038,TXN000219,2972.69,product_not_received,2026-06-12T17:49:53,False
REF00039,TXN000225,4438.44,product_not_received,2025-02-10T15:00:02,True
REF00040,TXN000226,2393.2,product_not_received,2025-02-14T15:41:17,True
REF00041,TXN000227,173.58,product_not_received,2025-07-19T09:00:27,True
REF00042,TXN000228,7737.12,customer_changed_mind,2025-06-06T16:16:04,True
REF00043,TXN000234,9179.95,duplicate_charge,2025-07-31T20:10:01,True
REF00044,TXN000240,3487.63,not_as_described,2026-04-20T04:59:43,True
REF00045,TXN000254,1151.96,customer_changed_mind,2026-03-05T21:33:11,True
REF00046,TXN000256,8411.61,not_as_described,2025-06-13T05:07:28,True
REF00047,TXN000260,2404.83,product_not_received,2026-05-06T13:48:52,False
REF00048,TXN000261,12250.64,customer_changed_mind,2026-03-17T10:59:46,False
REF00049,TXN000263,5875.57,customer_changed_mind,2025-02-06T13:32:51,False
REF00050,TXN000264,9151.33,product_not_received,2026-04-17T05:37:17,True
REF00051,TXN000268,6655.68,product_not_received,2026-05-27T05:44:25,True
REF00052,TXN000269,7797.02,customer_changed_mind,2025-01-26T10:12:58,False
REF00053,TXN000384,9608.46,not_as_described,2025-10-10T18:36:04,True
REF00054,TXN000390,1913.55,customer_changed_mind,2026-02-21T13:19:52,False
REF00055,TXN000398,13086.65,not_as_described,2025-08-22T02:18:20,True
REF00056,TXN000399,11018.18,product_not_received,2025-04-09T01:25:37,True
REF00057,TXN000401,10137.96,duplicate_charge,2025-06-22T10:37:21,True
REF00058,TXN000406,7845.35,duplicate_charge,2026-04-14T03:56:26,True
REF00059,TXN000407,3684.83,not_as_described,2026-02-26T22:23:23,True
REF00060,TXN000409,2186.2,not_as_described,2025-11-18T20:30:01,True
REF00061,TXN000426,5714.06,duplicate_charge,2026-05-17T20:41:32,False
REF00062,TXN000439,12299.16,product_not_received,2025-04-06T14:49:42,True
REF00063,TXN000443,5761.84,customer_changed_mind,2026-06-26T14:27:15,True
REF00064,TXN000462,4818.18,duplicate_charge,2026-05-17T01:40:43,True
REF00065,TXN000494,14126.52,not_as_described,2025-11-28T05:57:37,True
REF00066,TXN000500,14783.29,product_not_received,2026-06-11T11:18:12,True
REF00067,TXN000501,5705.35,customer_changed_mind,2025-03-14T23:05:15,True
REF00068,TXN000503,339.56,duplicate_charge,2026-04-17T16:03:57,True
REF00069,TXN000507,11850.0,duplicate_charge,2025-08-09T23:43:25,False
