transaction_id,customer_id,merchant_id,device_id,ip_id,payment_instrument_id,coupon_id,timestamp,amount,currency,status,is_ring_transaction
TXN000001,CUST00001,MERCH0012,DEV00161,IP00179,PI00001,,2025-05-15T15:31:44,14365.33,INR,success,False
TXN000002,CUST00001,MERCH0022,DEV00367,IP00035,PI00001,COUP00024,2025-07-10T01:08:17,12817.25,INR,failed,False
TXN000003,CUST00001,MERCH0022,DEV00117,IP00317,PI00001,,2025-02-16T02:54:55,4995.56,INR,success,False
TXN000004,CUST00001,MERCH0036,DEV00035,IP00116,PI00001,,2026-06-15T11:07:04,10457.62,INR,success,False
TXN000005,CUST00001,MERCH0011,DEV00639,IP00100,PI00001,,2025-06-11T16:13:13,12762.05,INR,success,False
TXN000006,CUST00001,MERCH0035,DEV00168,IP00304,PI00001,,2025-11-03T02:49:19,5267.61,INR,success,False
TXN000007,CUST00001,MERCH0018,DEV00661,IP00119,PI00001,,2026-02-23T03:51:58,1447.94,INR,success,False
TXN000008,CUST00001,MERCH0026,DEV00059,IP00228,PI00001,,2026-03-27T08:01:22,13624.34,INR,success,False
TXN000009,CUST00002,MERCH0016,DEV00630,IP00069,PI00003,,2026-04-12T22:07:36,6082.18,INR,success,False
TXN000010,CUST00002,MERCH0011,DEV00493,IP00236,PI00002,,2025-02-28T10:50:07,13605.58,INR,success,False
TXN000011,CUST00002,MERCH0006,DEV00187,IP00305,PI00002,,2025-10-26T04:59:18,13535.14,INR,success,False
TXN000012,CUST00002,MERCH0029,DEV00638,IP00408,PI00002,COUP00009,2025-09-23T13:26:14,10574.56,INR,success,False
TXN000013,CUST00002,MERCH0028,DEV00494,IP00191,PI00003,,2025-03-19T13:47:48,7154.44,INR,success,False
TXN000014,CUST00002,MERCH0017,DEV00684,IP00437,PI00003,,2025-04-28T09:32:33,1633.0,INR,failed,False
TXN000015,CUST00002,MERCH0029,DEV00719,IP00014,PI00002,,2025-04-21T04:35:34,494.1,INR,success,False
TXN000016,CUST00002,MERCH0018,DEV00608,IP00082,PI00003,,2026-03-20T13:44:17,13130.94,INR,failed,False
TXN000017,CUST00002,MERCH0023,DEV00063,IP00098,PI00002,,2025-07-30T02:09:07,12914.89,INR,success,False
TXN000018,CUST00002,MERCH0009,DEV00011,IP00163,PI00002,COUP00014,2025-10-03T10:42:10,8770.11,INR,success,False
TXN000019,CUST00002,MERCH0029,DEV00307,IP00122,PI00003,,2025-03-23T14:35:58,13768.15,INR,success,False
TXN000020,CUST00002,MERCH0009,DEV00654,IP00072,PI00003,,2025-12-25T01:34:43,10417.12,INR,success,False
